Parent,uniCode,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
102-15-284-7,102-15-286-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-15-283-4,102-15-284-8,D,Assignment,5,2,0,5,0,4,1,0,0,0,0,[]
102-15-283-4,102-15-284-9,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
102-15-283-4,102-15-284-10,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
102-15-283-4,102-15-284-11,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-15-0-0,102-15-283-5,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
102-0-0-0,102-16-0-0,F,AlterFunction,23,119,1,38,7,16,22,0,1,6,7,[288]
102-16-0-0,102-16-288-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-0-0,102-16-288-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-0-0,102-16-288-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-0-0,102-16-288-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-0-0,102-16-288-5,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-0-0,102-16-288-6,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-0-0,102-16-288-7,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
102-16-0-0,102-16-288-8,D,Assignment,2,3,0,3,1,2,1,0,0,1,1,[]
102-16-0-0,102-16-288-9,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
102-16-0-0,102-16-288-10,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-16-0-0,102-16-288-11,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-16-0-0,102-16-288-12,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
102-16-0-0,102-16-288-13,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
102-16-0-0,102-16-288-14,L,for/while,2,13,1,2,0,1,1,0,0,0,0,[289]
102-16-288-14,102-16-289-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-16-288-14,102-16-289-2,B,if,0,8,0,0,0,0,0,0,0,0,0,[]
102-16-0-0,102-16-288-15,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-16-0-0,102-16-288-16,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-16-0-0,102-16-288-17,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-16-0-0,102-16-288-18,B,if,2,8,1,1,0,0,1,0,0,0,0,[290]
102-16-288-18,102-16-290-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-288-18,102-16-290-2,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
102-16-0-0,102-16-288-19,B,if,3,12,1,1,0,0,1,0,0,0,0,[291]
102-16-288-19,102-16-291-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-288-19,102-16-291-2,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
102-16-288-19,102-16-291-3,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
102-16-0-0,102-16-288-20,B,if,7,34,1,17,2,9,8,0,1,1,2,[292]
102-16-288-20,102-16-292-1,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
102-16-288-20,102-16-292-2,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
102-16-288-20,102-16-292-3,D,Assignment,2,1,0,2,1,1,1,0,1,0,1,[]
102-16-288-20,102-16-292-4,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-16-288-20,102-16-292-5,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-288-20,102-16-292-6,B,if-else/switch,4,10,2,2,0,0,2,0,0,0,0,"[293, 294]"
102-16-292-6,102-16-293-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-292-6,102-16-293-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-292-6,102-16-294-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-292-6,102-16-294-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-16-288-20,102-16-292-7,D,Assignment,5,2,0,5,0,4,1,0,0,0,0,[]
102-16-0-0,102-16-288-21,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
102-16-0-0,102-16-288-22,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
102-16-0-0,102-16-288-23,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-0-0-0,102-17-0-0,F,SetFunctionReturnType,8,25,1,9,4,5,4,0,0,4,4,[296]
102-17-0-0,102-17-296-1,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
102-17-0-0,102-17-296-2,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
102-17-0-0,102-17-296-3,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-17-0-0,102-17-296-4,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-17-0-0,102-17-296-5,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-17-0-0,102-17-296-6,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-17-0-0,102-17-296-7,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
102-17-0-0,102-17-296-8,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
102-0-0-0,102-18-0-0,F,SetFunctionArgType,8,26,1,10,4,6,4,0,0,4,4,[298]
102-18-0-0,102-18-298-1,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
102-18-0-0,102-18-298-2,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
102-18-0-0,102-18-298-3,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-18-0-0,102-18-298-4,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-18-0-0,102-18-298-5,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
102-18-0-0,102-18-298-6,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
102-18-0-0,102-18-298-7,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
102-18-0-0,102-18-298-8,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
